month,region,bucket,delinquency_rate_pct
2023-11,South Texas,30+,1.75
2023-11,South Texas,60+,0.59
2023-11,South Texas,90+,0.25
2023-11,South Texas,30+,1.4
2023-11,South Texas,60+,0.5
2023-11,South Texas,90+,0.2
2023-11,South Texas,30+,1.57
2023-11,South Texas,60+,0.47
2023-11,South Texas,90+,0.3
2023-11,South Texas,30+,1.77
2023-11,South Texas,60+,0.53
2023-11,South Texas,90+,0.35
2023-11,South Texas,30+,1.63
2023-11,South Texas,60+,0.58
2023-11,South Texas,90+,0.23
2023-11,South Texas,30+,1.67
2023-11,South Texas,60+,0.54
2023-11,South Texas,90+,0.29
2023-11,South Texas,30+,1.85
2023-11,South Texas,60+,0.64
2023-11,South Texas,90+,0.24
2023-11,South Texas,30+,1.26
2023-11,South Texas,60+,0.45
2023-11,South Texas,90+,0.22
2023-11,South Texas,30+,1.16
2023-11,South Texas,60+,0.36
2023-11,South Texas,90+,0.18
2023-11,South Texas,30+,1.51
2023-11,South Texas,60+,0.46
2023-11,South Texas,90+,0.21
2023-11,South Texas,30+,1.53
2023-11,South Texas,60+,0.52
2023-11,South Texas,90+,0.21
2023-11,South Texas,30+,1.69
2023-11,South Texas,60+,0.63
2023-11,South Texas,90+,0.23
2023-11,South Texas,30+,1.11
2023-11,South Texas,60+,0.33
2023-11,South Texas,90+,0.16
2023-11,South Texas,30+,1.56
2023-11,South Texas,60+,0.44
2023-11,South Texas,90+,0.27
2023-11,South Texas,30+,1.6
2023-11,South Texas,60+,0.51
2023-11,South Texas,90+,0.25
2023-11,South Texas,30+,1.25
2023-11,South Texas,60+,0.47
2023-11,South Texas,90+,0.17
2023-11,South Texas,30+,1.64
2023-11,South Texas,60+,0.49
2023-11,South Texas,90+,0.26
2023-11,South Texas,30+,1.61
2023-11,South Texas,60+,0.51
2023-11,South Texas,90+,0.29
2023-11,South Texas,30+,1.29
2023-11,South Texas,60+,0.46
2023-11,South Texas,90+,0.18
2023-11,South Texas,30+,1.98
2023-11,South Texas,60+,0.7
2023-11,South Texas,90+,0.37
2023-11,Central Texas,30+,1.42
2023-11,Central Texas,60+,0.46
2023-11,Central Texas,90+,0.28
2023-11,Central Texas,30+,1.44
2023-11,Central Texas,60+,0.46
2023-11,Central Texas,90+,0.25
2023-11,Central Texas,30+,1.61
2023-11,Central Texas,60+,0.46
2023-11,Central Texas,90+,0.29
2023-11,Central Texas,30+,1.56
2023-11,Central Texas,60+,0.56
2023-11,Central Texas,90+,0.27
2023-11,Central Texas,30+,1.33
2023-11,Central Texas,60+,0.39
2023-11,Central Texas,90+,0.21
2023-11,Central Texas,30+,0.88
2023-11,Central Texas,60+,0.27
2023-11,Central Texas,90+,0.13
2023-11,Central Texas,30+,1.23
2023-11,Central Texas,60+,0.35
2023-11,Central Texas,90+,0.24
2023-11,Central Texas,30+,1.2
2023-11,Central Texas,60+,0.4
2023-11,Central Texas,90+,0.18
2023-11,Central Texas,30+,1.91
2023-11,Central Texas,60+,0.71
2023-11,Central Texas,90+,0.26
2023-11,Central Texas,30+,1.5
2023-11,Central Texas,60+,0.46
2023-11,Central Texas,90+,0.3
2023-11,Central Texas,30+,1.3
2023-11,Central Texas,60+,0.38
2023-11,Central Texas,90+,0.16
2023-11,Central Texas,30+,1.34
2023-11,Central Texas,60+,0.51
2023-11,Central Texas,90+,0.19
2023-11,Central Texas,30+,1.24
2023-11,Central Texas,60+,0.36
2023-11,Central Texas,90+,0.2
2023-11,Central Texas,30+,1.37
2023-11,Central Texas,60+,0.44
2023-11,Central Texas,90+,0.23
2023-11,Central Texas,30+,1.53
2023-11,Central Texas,60+,0.51
2023-11,Central Texas,90+,0.27
2023-11,Central Texas,30+,1.32
2023-11,Central Texas,60+,0.49
2023-11,Central Texas,90+,0.17
2023-11,Central Texas,30+,1.26
2023-11,Central Texas,60+,0.37
2023-11,Central Texas,90+,0.2
2023-11,Central Texas,30+,1.29
2023-11,Central Texas,60+,0.4
2023-11,Central Texas,90+,0.2
2023-11,Central Texas,30+,1.12
2023-11,Central Texas,60+,0.35
2023-11,Central Texas,90+,0.18
2023-11,Central Texas,30+,1.37
2023-11,Central Texas,60+,0.51
2023-11,Central Texas,90+,0.21
2023-11,North Texas,30+,1.21
2023-11,North Texas,60+,0.36
2023-11,North Texas,90+,0.17
2023-11,North Texas,30+,1.09
2023-11,North Texas,60+,0.37
2023-11,North Texas,90+,0.14
2023-11,North Texas,30+,1.83
2023-11,North Texas,60+,0.59
2023-11,North Texas,90+,0.22
2023-11,North Texas,30+,1.06
2023-11,North Texas,60+,0.4
2023-11,North Texas,90+,0.16
2023-11,North Texas,30+,1.08
2023-11,North Texas,60+,0.35
2023-11,North Texas,90+,0.16
2023-11,North Texas,30+,1.52
2023-11,North Texas,60+,0.48
2023-11,North Texas,90+,0.19
2023-11,North Texas,30+,1.45
2023-11,North Texas,60+,0.51
2023-11,North Texas,90+,0.19
2023-11,North Texas,30+,1.18
2023-11,North Texas,60+,0.4
2023-11,North Texas,90+,0.23
2023-11,North Texas,30+,1.05
2023-11,North Texas,60+,0.39
2023-11,North Texas,90+,0.15
2023-11,North Texas,30+,1.36
2023-11,North Texas,60+,0.44
2023-11,North Texas,90+,0.22
2023-11,North Texas,30+,1.28
2023-11,North Texas,60+,0.42
2023-11,North Texas,90+,0.22
2023-11,North Texas,30+,0.82
2023-11,North Texas,60+,0.27
2023-11,North Texas,90+,0.16
2023-11,North Texas,30+,1.05
2023-11,North Texas,60+,0.39
2023-11,North Texas,90+,0.13
2023-11,North Texas,30+,1.02
2023-11,North Texas,60+,0.35
2023-11,North Texas,90+,0.18
2023-11,North Texas,30+,1.74
2023-11,North Texas,60+,0.52
2023-11,North Texas,90+,0.33
2023-11,North Texas,30+,1.26
2023-11,North Texas,60+,0.37
2023-11,North Texas,90+,0.19
2023-11,North Texas,30+,1.27
2023-11,North Texas,60+,0.44
2023-11,North Texas,90+,0.25
2023-11,North Texas,30+,1.05
2023-11,North Texas,60+,0.37
2023-11,North Texas,90+,0.17
2023-11,North Texas,30+,1.24
2023-11,North Texas,60+,0.42
2023-11,North Texas,90+,0.21
2023-11,North Texas,30+,1.44
2023-11,North Texas,60+,0.46
2023-11,North Texas,90+,0.27
2023-11,East Texas,30+,1.56
2023-11,East Texas,60+,0.55
2023-11,East Texas,90+,0.3
2023-11,East Texas,30+,1.17
2023-11,East Texas,60+,0.43
2023-11,East Texas,90+,0.19
2023-11,East Texas,30+,1.2
2023-11,East Texas,60+,0.39
2023-11,East Texas,90+,0.23
2023-11,East Texas,30+,1.91
2023-11,East Texas,60+,0.71
2023-11,East Texas,90+,0.37
2023-11,East Texas,30+,1.46
2023-11,East Texas,60+,0.49
2023-11,East Texas,90+,0.27
2023-11,East Texas,30+,1.62
2023-11,East Texas,60+,0.54
2023-11,East Texas,90+,0.32
2023-11,East Texas,30+,1.95
2023-11,East Texas,60+,0.7
2023-11,East Texas,90+,0.31
2023-11,East Texas,30+,1.41
2023-11,East Texas,60+,0.51
2023-11,East Texas,90+,0.23
2023-11,East Texas,30+,1.27
2023-11,East Texas,60+,0.41
2023-11,East Texas,90+,0.23
2023-11,East Texas,30+,1.45
2023-11,East Texas,60+,0.54
2023-11,East Texas,90+,0.2
2023-11,East Texas,30+,1.25
2023-11,East Texas,60+,0.44
2023-11,East Texas,90+,0.25
2023-11,East Texas,30+,1.4
2023-11,East Texas,60+,0.48
2023-11,East Texas,90+,0.24
2023-11,East Texas,30+,1.29
2023-11,East Texas,60+,0.45
2023-11,East Texas,90+,0.22
2023-11,East Texas,30+,1.53
2023-11,East Texas,60+,0.53
2023-11,East Texas,90+,0.29
2023-11,East Texas,30+,1.67
2023-11,East Texas,60+,0.62
2023-11,East Texas,90+,0.33
2023-11,East Texas,30+,1.67
2023-11,East Texas,60+,0.56
2023-11,East Texas,90+,0.21
2023-11,East Texas,30+,1.86
2023-11,East Texas,60+,0.53
2023-11,East Texas,90+,0.23
2023-11,East Texas,30+,1.45
2023-11,East Texas,60+,0.42
2023-11,East Texas,90+,0.26
2023-11,East Texas,30+,0.92
2023-11,East Texas,60+,0.27
2023-11,East Texas,90+,0.16
2023-11,East Texas,30+,1.51
2023-11,East Texas,60+,0.47
2023-11,East Texas,90+,0.21
2023-11,West Texas,30+,1.79
2023-11,West Texas,60+,0.57
2023-11,West Texas,90+,0.31
2023-11,West Texas,30+,2.09
2023-11,West Texas,60+,0.64
2023-11,West Texas,90+,0.38
2023-11,West Texas,30+,1.45
2023-11,West Texas,60+,0.52
2023-11,West Texas,90+,0.26
2023-11,West Texas,30+,1.48
2023-11,West Texas,60+,0.44
2023-11,West Texas,90+,0.19
2023-11,West Texas,30+,1.72
2023-11,West Texas,60+,0.54
2023-11,West Texas,90+,0.3
2023-11,West Texas,30+,1.74
2023-11,West Texas,60+,0.51
2023-11,West Texas,90+,0.28
2023-11,West Texas,30+,1.59
2023-11,West Texas,60+,0.46
2023-11,West Texas,90+,0.25
2023-11,West Texas,30+,1.54
2023-11,West Texas,60+,0.5
2023-11,West Texas,90+,0.24
2023-11,West Texas,30+,1.57
2023-11,West Texas,60+,0.56
2023-11,West Texas,90+,0.23
2023-11,West Texas,30+,1.49
2023-11,West Texas,60+,0.52
2023-11,West Texas,90+,0.22
2023-11,West Texas,30+,2.01
2023-11,West Texas,60+,0.75
2023-11,West Texas,90+,0.26
2023-11,West Texas,30+,1.11
2023-11,West Texas,60+,0.32
2023-11,West Texas,90+,0.19
2023-11,West Texas,30+,0.87
2023-11,West Texas,60+,0.3
2023-11,West Texas,90+,0.14
2023-11,West Texas,30+,1.24
2023-11,West Texas,60+,0.43
2023-11,West Texas,90+,0.24
2023-11,West Texas,30+,1.59
2023-11,West Texas,60+,0.52
2023-11,West Texas,90+,0.27
2023-11,West Texas,30+,2.02
2023-11,West Texas,60+,0.66
2023-11,West Texas,90+,0.32
2023-11,West Texas,30+,1.93
2023-11,West Texas,60+,0.59
2023-11,West Texas,90+,0.31
2023-11,West Texas,30+,1.59
2023-11,West Texas,60+,0.5
2023-11,West Texas,90+,0.2
2023-11,West Texas,30+,1.65
2023-11,West Texas,60+,0.52
2023-11,West Texas,90+,0.33
2023-11,West Texas,30+,1.5
2023-11,West Texas,60+,0.47
2023-11,West Texas,90+,0.21
2023-12,South Texas,30+,1.71
2023-12,South Texas,60+,0.51
2023-12,South Texas,90+,0.3
2023-12,South Texas,30+,1.47
2023-12,South Texas,60+,0.42
2023-12,South Texas,90+,0.28
2023-12,South Texas,30+,0.67
2023-12,South Texas,60+,0.25
2023-12,South Texas,90+,0.13
2023-12,South Texas,30+,1.28
2023-12,South Texas,60+,0.44
2023-12,South Texas,90+,0.17
2023-12,South Texas,30+,2.23
2023-12,South Texas,60+,0.74
2023-12,South Texas,90+,0.37
2023-12,South Texas,30+,1.58
2023-12,South Texas,60+,0.45
2023-12,South Texas,90+,0.28
2023-12,South Texas,30+,1.25
2023-12,South Texas,60+,0.42
2023-12,South Texas,90+,0.21
2023-12,South Texas,30+,1.5
2023-12,South Texas,60+,0.52
2023-12,South Texas,90+,0.19
2023-12,South Texas,30+,1.05
2023-12,South Texas,60+,0.35
2023-12,South Texas,90+,0.19
2023-12,South Texas,30+,1.61
2023-12,South Texas,60+,0.57
2023-12,South Texas,90+,0.21
2023-12,South Texas,30+,1.51
2023-12,South Texas,60+,0.45
2023-12,South Texas,90+,0.28
2023-12,South Texas,30+,1.43
2023-12,South Texas,60+,0.5
2023-12,South Texas,90+,0.26
2023-12,South Texas,30+,1.16
2023-12,South Texas,60+,0.43
2023-12,South Texas,90+,0.17
2023-12,South Texas,30+,1.16
2023-12,South Texas,60+,0.33
2023-12,South Texas,90+,0.19
2023-12,South Texas,30+,1.47
2023-12,South Texas,60+,0.51
2023-12,South Texas,90+,0.28
2023-12,South Texas,30+,1.33
2023-12,South Texas,60+,0.48
2023-12,South Texas,90+,0.17
2023-12,South Texas,30+,1.74
2023-12,South Texas,60+,0.56
2023-12,South Texas,90+,0.34
2023-12,South Texas,30+,1.27
2023-12,South Texas,60+,0.45
2023-12,South Texas,90+,0.15
2023-12,South Texas,30+,1.52
2023-12,South Texas,60+,0.56
2023-12,South Texas,90+,0.25
2023-12,South Texas,30+,1.24
2023-12,South Texas,60+,0.38
2023-12,South Texas,90+,0.18
2023-12,Central Texas,30+,1.04
2023-12,Central Texas,60+,0.32
2023-12,Central Texas,90+,0.17
2023-12,Central Texas,30+,1.07
2023-12,Central Texas,60+,0.39
2023-12,Central Texas,90+,0.15
2023-12,Central Texas,30+,1.46
2023-12,Central Texas,60+,0.52
2023-12,Central Texas,90+,0.28
2023-12,Central Texas,30+,1.26
2023-12,Central Texas,60+,0.37
2023-12,Central Texas,90+,0.17
2023-12,Central Texas,30+,1.92
2023-12,Central Texas,60+,0.63
2023-12,Central Texas,90+,0.32
2023-12,Central Texas,30+,1.56
2023-12,Central Texas,60+,0.47
2023-12,Central Texas,90+,0.25
2023-12,Central Texas,30+,1.16
2023-12,Central Texas,60+,0.4
2023-12,Central Texas,90+,0.18
2023-12,Central Texas,30+,1.83
2023-12,Central Texas,60+,0.57
2023-12,Central Texas,90+,0.26
2023-12,Central Texas,30+,1.27
2023-12,Central Texas,60+,0.44
2023-12,Central Texas,90+,0.24
2023-12,Central Texas,30+,1.34
2023-12,Central Texas,60+,0.42
2023-12,Central Texas,90+,0.17
2023-12,Central Texas,30+,1.28
2023-12,Central Texas,60+,0.45
2023-12,Central Texas,90+,0.18
2023-12,Central Texas,30+,1.13
2023-12,Central Texas,60+,0.38
2023-12,Central Texas,90+,0.17
2023-12,Central Texas,30+,1.27
2023-12,Central Texas,60+,0.45
2023-12,Central Texas,90+,0.22
2023-12,Central Texas,30+,1.17
2023-12,Central Texas,60+,0.34
2023-12,Central Texas,90+,0.16
2023-12,Central Texas,30+,1.64
2023-12,Central Texas,60+,0.52
2023-12,Central Texas,90+,0.27
2023-12,Central Texas,30+,1.48
2023-12,Central Texas,60+,0.44
2023-12,Central Texas,90+,0.22
2023-12,Central Texas,30+,1.66
2023-12,Central Texas,60+,0.58
2023-12,Central Texas,90+,0.31
2023-12,Central Texas,30+,1.26
2023-12,Central Texas,60+,0.39
2023-12,Central Texas,90+,0.17
2023-12,Central Texas,30+,1.68
2023-12,Central Texas,60+,0.48
2023-12,Central Texas,90+,0.28
2023-12,Central Texas,30+,1.16
2023-12,Central Texas,60+,0.38
2023-12,Central Texas,90+,0.14
2023-12,North Texas,30+,1.06
2023-12,North Texas,60+,0.31
2023-12,North Texas,90+,0.18
2023-12,North Texas,30+,1.02
2023-12,North Texas,60+,0.31
2023-12,North Texas,90+,0.14
2023-12,North Texas,30+,1.24
2023-12,North Texas,60+,0.4
2023-12,North Texas,90+,0.22
2023-12,North Texas,30+,1.49
2023-12,North Texas,60+,0.55
