month,region,branch_id,apps_units,approvals_units,pipeline_dollars
2023-11,South Texas,SATX-B01,44,33,10951330.97
2023-11,South Texas,SATX-B01,28,16,7071434.09
2023-11,South Texas,SATX-B01,55,30,14087671.28
2023-11,South Texas,SATX-B02,34,20,8357153.81
2023-11,South Texas,SATX-B02,42,28,9857137.84
2023-11,South Texas,SATX-B02,48,28,11414831.62
2023-11,South Texas,SATX-B03,30,20,7161047.11
2023-11,South Texas,SATX-B03,33,23,8407798.2
2023-11,South Texas,SATX-B03,34,24,8530170.94
2023-11,South Texas,SATX-B04,33,19,8500124.11
2023-11,South Texas,SATX-B04,33,19,8739001.44
2023-11,South Texas,SATX-B04,34,27,8498496.42
2023-11,South Texas,SATX-B05,48,30,11531196.04
2023-11,South Texas,SATX-B05,67,40,17389790.89
2023-11,South Texas,SATX-B05,47,27,11814434.47
2023-11,South Texas,SATX-B06,29,18,6882675.74
2023-11,South Texas,SATX-B06,35,22,9045994.22
2023-11,South Texas,SATX-B06,28,22,7030112.07
2023-11,South Texas,SATX-B07,33,18,8411482.54
2023-11,South Texas,SATX-B07,45,34,11569589.45
2023-11,South Texas,SATX-B07,31,25,7673315.33
2023-11,South Texas,SATX-B08,24,13,6211132.22
2023-11,South Texas,SATX-B08,28,21,6732049.72
2023-11,South Texas,SATX-B08,48,33,12113879.57
2023-11,South Texas,SATX-B09,43,33,10528078.8
2023-11,South Texas,SATX-B09,54,37,13646094.3
2023-11,South Texas,SATX-B09,13,7,3335477.86
2023-11,South Texas,SATX-B10,25,17,6458498.32
2023-11,South Texas,SATX-B10,37,24,9355705.32
2023-11,South Texas,SATX-B10,32,18,8190390.09
2023-11,Central Texas,ATX-B01,31,25,7625564.25
2023-11,Central Texas,ATX-B01,45,36,11666947.2
2023-11,Central Texas,ATX-B01,34,27,8639608.74
2023-11,Central Texas,ATX-B02,53,43,13324434.6
2023-11,Central Texas,ATX-B02,32,19,7916118.49
2023-11,Central Texas,ATX-B02,52,42,12878547.69
2023-11,Central Texas,ATX-B03,40,27,9924932.12
2023-11,Central Texas,ATX-B03,36,23,8916728.59
2023-11,Central Texas,ATX-B03,38,26,9622831.46
2023-11,Central Texas,ATX-B04,30,25,7836950.1
2023-11,Central Texas,ATX-B04,20,12,4995757.78
2023-11,Central Texas,ATX-B04,41,28,10108104.16
2023-11,Central Texas,ATX-B05,38,22,9591670.39
2023-11,Central Texas,ATX-B05,43,26,10747461.23
2023-11,Central Texas,ATX-B05,51,31,13056788.68
2023-11,Central Texas,ATX-B06,31,22,8093235.9
2023-11,Central Texas,ATX-B06,45,25,12038564.03
2023-11,Central Texas,ATX-B06,35,21,9008485.53
2023-11,Central Texas,ATX-B07,40,30,9838887.79
2023-11,Central Texas,ATX-B07,40,24,9883027.43
2023-11,Central Texas,ATX-B07,29,21,7359873.44
2023-11,Central Texas,ATX-B08,46,27,11440775.05
2023-11,Central Texas,ATX-B08,32,26,7917552.25
2023-11,Central Texas,ATX-B08,36,26,9160163.08
2023-11,Central Texas,ATX-B09,42,29,10939199.97
2023-11,Central Texas,ATX-B09,36,29,8940710.39
2023-11,Central Texas,ATX-B09,42,27,10762692.48
2023-11,Central Texas,ATX-B10,52,42,12639267.2
2023-11,Central Texas,ATX-B10,42,31,10616406.6
2023-11,Central Texas,ATX-B10,42,23,10784726.88
2023-11,North Texas,DFW-B01,42,23,10259977.92
2023-11,North Texas,DFW-B01,41,31,9850871.6
2023-11,North Texas,DFW-B01,28,21,7147068.01
2023-11,North Texas,DFW-B02,32,24,7710610.42
2023-11,North Texas,DFW-B02,49,36,12411810.12
2023-11,North Texas,DFW-B02,31,20,7786173.74
2023-11,North Texas,DFW-B03,31,26,7547679.05
2023-11,North Texas,DFW-B03,48,35,11907995.71
2023-11,North Texas,DFW-B03,40,28,10465130.9
2023-11,North Texas,DFW-B04,25,19,6243094.07
2023-11,North Texas,DFW-B04,29,24,7361933.6
2023-11,North Texas,DFW-B04,38,31,9725063.61
2023-11,North Texas,DFW-B05,31,24,7374317.89
2023-11,North Texas,DFW-B05,30,21,7376888.32
2023-11,North Texas,DFW-B05,41,29,10376384.1
2023-11,North Texas,DFW-B06,42,35,10228197.2
2023-11,North Texas,DFW-B06,40,32,9634249.5
2023-11,North Texas,DFW-B06,48,36,12409420.24
2023-11,North Texas,DFW-B07,26,20,6304932.39
2023-11,North Texas,DFW-B07,43,35,10838479.38
2023-11,North Texas,DFW-B07,45,35,12636983.34
2023-11,North Texas,DFW-B08,53,41,13668997.91
2023-11,North Texas,DFW-B08,36,23,9218583.14
2023-11,North Texas,DFW-B08,41,22,9969255.31
2023-11,North Texas,DFW-B09,63,40,14808898.34
2023-11,North Texas,DFW-B09,35,19,8772455.64
2023-11,North Texas,DFW-B09,35,20,9054906.17
2023-11,North Texas,DFW-B10,55,33,13806562.44
2023-11,North Texas,DFW-B10,32,18,8055413.4
2023-11,North Texas,DFW-B10,63,46,16679080.53
2023-11,East Texas,HOU-B01,19,14,4778341.06
2023-11,East Texas,HOU-B01,35,20,8282642.94
2023-11,East Texas,HOU-B01,45,30,11561671.87
2023-11,East Texas,HOU-B02,36,22,8908460.09
2023-11,East Texas,HOU-B02,57,42,14434671.66
2023-11,East Texas,HOU-B02,43,31,11318064.74
2023-11,East Texas,HOU-B03,24,15,5907027.06
2023-11,East Texas,HOU-B03,37,21,9804113.68
2023-11,East Texas,HOU-B03,7,4,1692634.29
