month,region,share_dda,share_sav,share_mma,share_cd,share_inv
2024-11,South Texas,0.199,0.166,0.34,0.226,0.069
2024-11,South Texas,0.462,0.309,0.008,0.108,0.113
2024-11,South Texas,0.492,0.146,0.086,0.14,0.135
2024-11,South Texas,0.219,0.565,0.047,0.1,0.068
2024-11,South Texas,0.258,0.33,0.038,0.318,0.055
2024-11,South Texas,0.406,0.19,0.164,0.127,0.113
2024-11,South Texas,0.385,0.145,0.248,0.14,0.082
2024-11,South Texas,0.388,0.455,0.062,0.06,0.036
2024-11,South Texas,0.272,0.134,0.073,0.305,0.216
2024-11,South Texas,0.102,0.21,0.382,0.262,0.045
2024-11,South Texas,0.307,0.198,0.042,0.252,0.201
2024-11,South Texas,0.226,0.196,0.407,0.169,0.001
2024-11,South Texas,0.088,0.418,0.252,0.215,0.027
2024-11,South Texas,0.499,0.128,0.044,0.231,0.098
2024-11,South Texas,0.249,0.326,0.149,0.096,0.18
2024-11,South Texas,0.445,0.247,0.153,0.092,0.063
2024-11,South Texas,0.236,0.423,0.158,0.097,0.087
2024-11,South Texas,0.223,0.231,0.244,0.253,0.048
2024-11,South Texas,0.513,0.334,0.084,0.044,0.025
2024-11,South Texas,0.425,0.271,0.234,0.018,0.053
2024-11,South Texas,0.308,0.325,0.07,0.2,0.097
2024-11,South Texas,0.431,0.173,0.177,0.216,0.003
2024-11,South Texas,0.507,0.086,0.091,0.132,0.183
2024-11,South Texas,0.503,0.088,0.012,0.239,0.159
2024-11,South Texas,0.121,0.539,0.129,0.048,0.163
2024-11,South Texas,0.437,0.143,0.111,0.275,0.034
2024-11,South Texas,0.12,0.385,0.163,0.33,0.002
2024-11,South Texas,0.142,0.597,0.122,0.077,0.062
2024-11,South Texas,0.183,0.086,0.04,0.232,0.46
2024-11,South Texas,0.368,0.097,0.321,0.179,0.036
2024-11,South Texas,0.359,0.252,0.156,0.185,0.049
2024-11,South Texas,0.606,0.193,0.031,0.139,0.032
2024-11,South Texas,0.39,0.225,0.073,0.268,0.043
2024-11,South Texas,0.255,0.262,0.323,0.103,0.058
2024-11,South Texas,0.19,0.613,0.033,0.129,0.034
2024-11,South Texas,0.14,0.646,0.099,0.108,0.007
2024-11,South Texas,0.413,0.226,0.23,0.046,0.085
2024-11,South Texas,0.302,0.241,0.314,0.101,0.042
2024-11,South Texas,0.211,0.139,0.152,0.332,0.165
2024-11,South Texas,0.204,0.36,0.255,0.156,0.024
2024-11,Central Texas,0.394,0.054,0.437,0.091,0.025
2024-11,Central Texas,0.291,0.179,0.146,0.165,0.218
2024-11,Central Texas,0.294,0.16,0.168,0.171,0.207
2024-11,Central Texas,0.125,0.162,0.304,0.309,0.1
2024-11,Central Texas,0.403,0.419,0.08,0.062,0.036
2024-11,Central Texas,0.201,0.246,0.273,0.234,0.047
2024-11,Central Texas,0.255,0.185,0.231,0.278,0.05
2024-11,Central Texas,0.613,0.036,0.109,0.029,0.213
2024-11,Central Texas,0.257,0.367,0.211,0.158,0.007
2024-11,Central Texas,0.344,0.173,0.095,0.304,0.083
2024-11,Central Texas,0.239,0.233,0.215,0.209,0.104
2024-11,Central Texas,0.421,0.395,0.082,0.064,0.038
2024-11,Central Texas,0.319,0.181,0.157,0.232,0.111
2024-11,Central Texas,0.584,0.243,0.006,0.158,0.009
2024-11,Central Texas,0.217,0.263,0.239,0.239,0.042
2024-11,Central Texas,0.25,0.318,0.204,0.198,0.03
2024-11,Central Texas,0.184,0.147,0.525,0.121,0.023
2024-11,Central Texas,0.477,0.081,0.289,0.026,0.126
2024-11,Central Texas,0.26,0.298,0.142,0.188,0.112
2024-11,Central Texas,0.143,0.562,0.103,0.146,0.046
2024-11,Central Texas,0.314,0.196,0.101,0.295,0.094
2024-11,Central Texas,0.271,0.307,0.204,0.118,0.099
2024-11,Central Texas,0.246,0.148,0.352,0.149,0.105
2024-11,Central Texas,0.356,0.293,0.057,0.117,0.177
2024-11,Central Texas,0.493,0.146,0.212,0.147,0.001
2024-11,Central Texas,0.151,0.11,0.242,0.171,0.325
2024-11,Central Texas,0.207,0.295,0.252,0.115,0.131
2024-11,Central Texas,0.564,0.238,0.071,0.058,0.069
2024-11,Central Texas,0.366,0.189,0.027,0.158,0.26
2024-11,Central Texas,0.255,0.305,0.147,0.225,0.067
2024-11,Central Texas,0.145,0.339,0.159,0.335,0.022
2024-11,Central Texas,0.311,0.345,0.183,0.156,0.004
2024-11,Central Texas,0.582,0.128,0.051,0.079,0.16
2024-11,Central Texas,0.257,0.218,0.031,0.115,0.378
2024-11,Central Texas,0.443,0.333,0.114,0.067,0.043
2024-11,Central Texas,0.525,0.175,0.162,0.04,0.098
2024-11,Central Texas,0.366,0.105,0.02,0.26,0.248
